response,predictor,slope_undist,interaction,p_interaction,n,n_dist
Hill q1,SAVI_mean,0.39349391569296055,-0.04032891332838974,0.693749374038265,451,122
Hill q1,EVI_mean,0.39316413814333223,-0.034945228255754274,0.7328296897040978,451,122
Hill q1,Deep_Gap_mean,-0.46749779798430197,0.16437832349578713,0.08505451943928131,472,122
Hill q1,FHD_mean,0.12855857633286058,0.025881693679170047,0.7968102399725862,472,122
Hill q1,LAI_mean,0.39012778482779337,-0.07709437286836307,0.4747589572587987,472,122
Hill q1,dhi_cum_mean,0.03223401576820035,-0.09293292122634406,0.3266209208549343,487,114
Hill q2,SAVI_mean,0.41434405699845295,-0.028685553862715995,0.7859324779516157,451,122
Hill q2,EVI_mean,0.4148181912205444,-0.025862533244232877,0.8064640660157217,451,122
Hill q2,Deep_Gap_mean,-0.4556868440637194,0.1566304917892451,0.11562944963366138,472,122
Hill q2,FHD_mean,0.13287314882265996,0.03410916399984767,0.7437855412856345,472,122
Hill q2,LAI_mean,0.40954573749206497,-0.10197699435170864,0.35438394926837313,472,122
Hill q2,dhi_cum_mean,0.03634430019596854,-0.11248853334257135,0.25257928700116683,487,114
Turnover,SAVI_mean,0.1639816184390213,-0.1409427476605702,0.1308569004823598,411,108
Turnover,EVI_mean,0.16652028278894979,-0.14322444676582635,0.123456948948208,411,108
Turnover,Deep_Gap_mean,-0.2204035240698125,0.14256800435544303,0.08357842651648069,432,108
Turnover,FHD_mean,0.03011898414415163,-0.05885643561871796,0.5054893269661891,432,108
Turnover,LAI_mean,0.047669124390856056,0.008885663751480668,0.9235751361695641,432,108
Turnover,dhi_cum_mean,0.06853379866806186,-0.09779232503877286,0.2427256124731536,445,99
Nestedness,SAVI_mean,-0.042205621254874426,-0.06535016823480058,0.6397194127161059,411,108
Nestedness,EVI_mean,-0.03318039527421861,-0.06739078740912269,0.6282085225495473,411,108
Nestedness,Deep_Gap_mean,0.04214926013567123,0.051125702519681966,0.6751413551865213,432,108
Nestedness,FHD_mean,0.02528215059886298,0.06425480347338933,0.6204778315626233,432,108
Nestedness,LAI_mean,0.06357955254511129,-0.012846616923197843,0.9247917199075358,432,108
Nestedness,dhi_cum_mean,0.10643498656617548,-0.3017119724881738,0.011372203458035137,445,99
