response,dhi,beta,se,p,n
Hill q1,dhi_cum_mean,0.015305520313054122,0.07663917626688811,0.841708306647129,487
Hill q1,dhi_min_mean,-0.13915729369553922,0.04944805011534713,0.004889697692326189,487
Hill q1,dhi_var_mean,0.21413920855050506,0.06200709272229378,0.00055343795064544,487
Hill q1,dhi_cum_trend,0.018744448882674895,0.06904239073979422,0.7860127394060512,415
Hill q1,dhi_var_trend,0.02525748449309402,0.04913201354767168,0.6072003433026472,415
Hill q2,dhi_cum_mean,-0.06382696272571226,0.06477900855249596,0.3244751741963159,487
Hill q2,dhi_min_mean,-0.12380836433300398,0.056166827023583936,0.0275034687735283,487
Hill q2,dhi_var_mean,0.2245054140199024,0.06435411748853595,0.00048556732801482186,487
Hill q2,dhi_cum_trend,0.02154616035622653,0.0714272080602358,0.7629173610225722,415
Hill q2,dhi_var_trend,0.02521465511721864,0.05083132618251729,0.6198622469471944,415
Turnover,dhi_cum_mean,0.04560656422350419,0.06692257512405464,0.4955662322868941,445
Turnover,dhi_min_mean,-0.030876899981687606,0.04686394117593589,0.5099839788142353,445
Turnover,dhi_var_mean,0.05071377323121838,0.05285386261641658,0.33730223200094345,445
Nestedness,dhi_cum_mean,0.07210348738995713,0.09626596536844262,0.4538554565350562,445
Nestedness,dhi_min_mean,0.07956364826958896,0.06734541712470275,0.23743340764444698,445
Nestedness,dhi_var_mean,-0.035959050390789546,0.07609790091516001,0.6365437579791431,445
