test,metric,press_med,pulse_med,p,r,lmm_beta,lmm_p
press_vs_pulse,Canopy_Ht,-0.6083807689803002,-0.14218474219715782,0.08942509711707804,,,
press_vs_pulse,Deep_Gap,0.0026156196545343985,-0.048282751254737355,2.417852269751299e-06,,,
press_vs_pulse,Rugosity,0.17943401187658292,0.041824864844481446,0.05739866720261383,,,
press_vs_pulse,LAI,-0.17959030839012502,0.22137453256598982,2.2176294197229316e-07,,,
press_vs_pulse,Gini,0.02560762735083702,0.015662599321720858,0.02387340016238354,,,
press_vs_pulse,FHD,0.1471899087939943,0.14971993029827146,0.7521575008648893,,,
complexity_buffer,ΔCanopyHt,,,1.5137151377141063e-05,-0.30291736931259944,-0.6163131245673079,0.0010100928439813696
complexity_buffer,ΔFHD,,,0.0002724857278481525,-0.2605381836174691,-0.033741307177199184,0.12852419946794622
complexity_buffer,ΔRichness,,,0.529529797176418,-0.055637357515028324,0.10268844029170904,0.7281063969270261
complexity_buffer,ΔHillq1,,,0.2994805782068383,-0.09169269716872651,-0.10844756030384463,0.5150813585437778
