response,predictor,kind,beta,p,n
Hill q1(alpha),rao_q,spectral_div,0.1092577253573031,0.007544802064020146,525
Hill q1(alpha),spectral_cv,spectral_div,-0.01740730254732879,0.6083576789548286,525
Hill q1(alpha),spectral_shannon,spectral_div,-0.06139173514026308,0.07214460947452186,525
Hill q1(alpha),spectral_FRic,spectral_div,0.035940834560604214,0.35866715461444065,525
Hill q1(alpha),spectral_FDiv,spectral_div,-0.0017957651805982603,0.9603571267444759,525
Hill q1(alpha),spectral_FEve,spectral_div,-0.0400412934743997,0.3329372289459378,525
Hill q1(alpha),FHD,structural_div,0.14442001287089667,0.007318167749547728,472
Hill q1(alpha),Rumple,structural_div,-0.30458238362227436,1.4530828600199332e-05,472
Hill q1(alpha),Gini,structural_div,0.1718025480986995,0.0009907873026046006,472
Hill q1(alpha),VCI,structural_div,0.30704945663995276,2.0079525240118212e-11,472
Hill q1(alpha),Vert_SD,structural_div,0.022724908359521928,0.6782676102562446,472
Hill q2(alpha),rao_q,spectral_div,0.10894400262704197,0.009933447068171591,525
Hill q2(alpha),spectral_cv,spectral_div,-0.014656489209898375,0.6761808883912986,525
Hill q2(alpha),spectral_shannon,spectral_div,-0.05553760018762047,0.1194271945859139,525
Hill q2(alpha),spectral_FDiv,spectral_div,-0.008372784934434425,0.8239200168644583,525
Hill q2(alpha),spectral_FEve,spectral_div,-0.03967625344696833,0.3529952337416997,525
Hill q2(alpha),FHD,structural_div,0.15286106112424974,0.006252924341377484,472
Hill q2(alpha),Rumple,structural_div,-0.29869324612809334,4.4071607402854954e-05,472
Hill q2(alpha),Gini,structural_div,0.17804034522826423,0.0010288592990072988,472
Hill q2(alpha),VCI,structural_div,0.31026767686039713,7.648996303001107e-11,472
Hill q2(alpha),Vert_SD,structural_div,0.09931964561036374,0.08834015918207866,472
LCBD turnover(beta),rao_q,spectral_div,0.038758918987056606,0.26661837999918025,480
LCBD turnover(beta),spectral_cv,spectral_div,-0.015599020998549701,0.5878054946156299,480
LCBD turnover(beta),spectral_shannon,spectral_div,-0.0206587975975093,0.48004415827817815,480
LCBD turnover(beta),spectral_FRic,spectral_div,-0.0211938529322816,0.5221207372460478,480
LCBD turnover(beta),spectral_FDiv,spectral_div,-0.029219501123664938,0.3379252772448883,480
LCBD turnover(beta),spectral_FEve,spectral_div,-0.07863133857911056,0.025908581054269016,480
LCBD turnover(beta),FHD,structural_div,0.010283907670271479,0.8201631231560521,432
LCBD turnover(beta),Rumple,structural_div,-0.13842308657667918,0.01797646742935601,432
LCBD turnover(beta),Gini,structural_div,0.11674354103561264,0.009332503326119663,432
LCBD turnover(beta),VCI,structural_div,0.14068237276993434,0.0002801392916976246,432
LCBD turnover(beta),Vert_SD,structural_div,0.022145212309549304,0.6300406322819293,432
LCBD nestedness(beta),rao_q,spectral_div,-0.07462574597611693,0.1401063442989542,480
LCBD nestedness(beta),spectral_cv,spectral_div,-0.016218864007587184,0.6977988085637076,480
LCBD nestedness(beta),spectral_shannon,spectral_div,0.010111262397301394,0.8118151683121879,480
LCBD nestedness(beta),spectral_FRic,spectral_div,0.03495897491427216,0.4668234108503203,480
LCBD nestedness(beta),spectral_FDiv,spectral_div,0.01592984899941087,0.7190639560363179,480
LCBD nestedness(beta),spectral_FEve,spectral_div,0.0315931523802455,0.5393608284607978,480
LCBD nestedness(beta),FHD,structural_div,0.0749628311699761,0.2662984729037521,432
LCBD nestedness(beta),Rumple,structural_div,-0.07795710925018408,0.367871771384616,432
LCBD nestedness(beta),Gini,structural_div,-0.30962704895822524,1.8228677386553714e-06,432
LCBD nestedness(beta),VCI,structural_div,-0.26071234192366777,3.877937674330583e-06,432
LCBD nestedness(beta),Vert_SD,structural_div,0.05595643652626141,0.41150208628201523,432
